"fecha","BONOS","IGBVL","TC","TIR","Premio_riesgo"
2011-08-08,6.12232222222222,18730.56,2.75471428571429,4.25,18730.4987767778
2011-08-09,6.124,19212.6,2.74828571428571,4.25,19212.53876
2011-08-10,6.068,18969.23,2.75271428571429,4.25,18969.16932
2011-08-11,6.015,19678.72,2.74585714285714,4.25,19678.65985
2011-08-12,5.9903705882353,19937.43,2.742,4.25,19937.3700962941
2011-08-15,5.97818181818182,20067.39,2.74157142857143,4.25,20067.3302181818
2011-08-16,5.98,19772,2.74157142857143,4.25,19771.9402
2011-08-17,5.94923076923077,19980.02,2.73814285714286,4.25,19979.9605076923
2011-08-18,5.9021052631579,19516.14,2.74,4.25,19516.0809789474
2011-08-19,5.868,19378.12,2.73542857142857,4.25,19378.06132
2011-08-22,5.801,19388.57,2.73228571428571,4.25,19388.51199
2011-08-23,5.71958333333333,19488.45,2.73285714285714,4.25,19488.3928041667
2011-08-24,5.64571428571429,19502.86,2.73257142857143,4.25,19502.8035428571
2011-08-25,5.60789473684211,19475.44,2.73228571428571,4.25,19475.3839210526
2011-08-26,5.642,19795.94,2.73142857142857,4.25,19795.88358
2011-08-31,5.53058823529412,20697.11,2.72771428571429,4.25,20697.0546941176
2011-09-01,5.53727272727273,20726.6,2.72785714285714,4.25,20726.5446272727
2011-09-02,5.506,20443.56,2.731,4.25,20443.50494
2011-09-05,5.44761904761905,20108.41,2.73228571428571,4.25,20108.3555238095
2011-09-06,5.41166666666667,19931.29,2.73128571428571,4.25,19931.2358833333
2011-09-07,5.4025,20134.76,2.726,4.25,20134.705975
2011-09-08,5.41,20077.53,2.72542857142857,4.25,20077.4759
2011-09-09,5.38205128205128,19906.55,2.72757142857143,4.25,19906.4961794872
2011-09-12,5.4225,19939.77,2.72971428571429,4.25,19939.715775
2011-09-13,5.455,19980.85,2.73414285714286,4.25,19980.79545
2011-09-14,5.4955,20179.69,2.73214285714286,4.25,20179.635045
2011-09-15,5.55441176470588,20426.79,2.73114285714286,4.25,20426.7344558824
2011-09-16,5.63875,20573.07,2.73185714285714,4.25,20573.0136125
2011-09-19,5.68058823529412,20321.09,2.74014285714286,4.25,20321.0331941176
2011-09-20,5.67545454545455,20305.74,2.73985714285714,4.25,20305.6832454545
2011-09-21,5.73,19933.32,2.75042857142857,4.25,19933.2627
2011-09-22,5.925,19011.88,2.78328571428571,4.25,19011.82075
2011-09-23,5.82576923076923,18813.82,2.76785714285714,4.25,18813.7617423077
2011-09-26,5.8,18694.26,2.77028571428571,4.25,18694.202
2011-09-27,5.754375,19134.43,2.77028571428571,4.25,19134.37245625
2011-09-28,5.868,18543.93,2.76728571428571,4.25,18543.87132
2011-09-29,5.863125,18435.79,2.76985714285714,4.25,18435.73136875
2011-09-30,5.85833333333333,18329.1,2.77342857142857,4.25,18329.0414166667
2011-10-03,5.929,17838.98,2.77442857142857,4.25,17838.92071
2011-10-04,5.87833333333333,17317.88,2.778,4.25,17317.8212166667
2011-10-05,5.86416666666667,17543.34,2.77042857142857,4.25,17543.2813583333
2011-10-06,5.77594736842105,17745.48,2.75371428571429,4.25,17745.4222405263
2011-10-07,5.74944444444444,17761.27,2.74385714285714,4.25,17761.2125055556
2011-10-10,5.73333333333333,18270.65,2.73071428571429,4.25,18270.5926666667
2011-10-11,5.72814814814815,18268.85,2.73085714285714,4.25,18268.7927185185
2011-10-12,5.71302325581395,18554.9,2.72585714285714,4.25,18554.8428697674
2011-10-13,5.64866666666666,18623.62,2.74385714285714,4.25,18623.5635133333
2011-10-14,5.628,18897.41,2.72114285714286,4.25,18897.35372
2011-10-17,5.7,18723.34,2.723,4.25,18723.283
2011-10-18,5.72333333333333,18988.64,2.72328571428571,4.25,18988.5827666667
2011-10-19,5.68863636363636,18766.55,2.72257142857143,4.25,18766.4931136364
2011-10-20,5.7,18567.91,2.72628571428571,4.25,18567.853
2011-10-21,5.68,18857.1,2.72128571428571,4.25,18857.0432
2011-10-24,5.70483928571428,19465.92,2.71871428571429,4.25,19465.8629516071
2011-10-25,5.7053,19307.25,2.717,4.25,19307.192947
2011-10-26,5.73666666666667,19342.14,2.71914285714286,4.25,19342.0826333333
2011-10-27,5.61091666666667,20012.08,2.709,4.25,20012.0238908333
2011-10-28,5.59888888888889,20044.34,2.70714285714286,4.25,20044.2840111111
2011-11-02,5.62058823529412,19486.18,2.71128571428571,4.25,19486.1237941176
2011-11-03,5.65647058823529,19579.97,2.70871428571429,4.25,19579.9134352941
2011-11-04,5.66428571428572,19370.46,2.70757142857143,4.25,19370.4033571429
2011-11-07,5.66692307692308,19392.22,2.705,4.25,19392.1633307692
2011-11-08,5.65,19509.95,2.70328571428571,4.25,19509.8935
2011-11-09,5.6825,19010.75,2.70814285714286,4.25,19010.693175
2011-11-10,5.66,19127.85,2.70771428571429,4.25,19127.7934
2011-11-11,5.61511627906977,19450.89,2.70328571428571,4.25,19450.8338488372
2011-11-14,5.60125,19346.98,2.70557142857143,4.25,19346.9239875
2011-11-15,5.63,19359.25,2.70685714285714,4.25,19359.1937
2011-11-16,5.62875,19529.14,2.70228571428571,4.25,19529.0837125
2011-11-17,5.61589655172414,19304.53,2.70142857142857,4.25,19304.4738410345
2011-11-18,5.61355932203391,19240.14,2.70071428571429,4.25,19240.0838644068
2011-11-21,5.68384615384615,18956.18,2.70271428571429,4.25,18956.1231615385
2011-11-22,5.69952380952381,19131.61,2.70257142857143,4.25,19131.5530047619
2011-11-23,5.73153846153846,19007.82,2.70657142857143,4.25,19007.7626846154
2011-11-24,5.748,18975.54,2.70757142857143,4.25,18975.48252
2011-11-25,5.73860465116279,18957.75,2.71371428571429,4.25,18957.6926139535
2011-11-28,5.72254545454546,19168.9,2.709,4.25,19168.8427745455
2011-11-29,5.716,19236.99,2.70714285714286,4.25,19236.93284
2011-11-30,5.66880952380952,19911.82,2.70071428571429,4.25,19911.7633119048
2011-12-01,5.62044444444444,19814.4,2.69971428571429,4.25,19814.3437955556
2011-12-02,5.62,20178.69,2.69885714285714,4.25,20178.6338
2011-12-05,5.64605263157894,20200.38,2.698,4.25,20200.3235394737
2011-12-06,5.65875,20090.29,2.69785714285714,4.25,20090.2334125
2011-12-07,5.64988888888889,19986.43,2.69657142857143,4.25,19986.3735011111
2011-12-09,5.63520547945205,19985.96,2.69657142857143,4.25,19985.9036479452
2011-12-12,5.7203947368421,19734.71,2.70142857142857,4.25,19734.6527960526
2011-12-13,5.72615384615385,19587.19,2.69714285714286,4.25,19587.1327384615
2011-12-14,5.74290322580646,19305.93,2.69757142857143,4.25,19305.8725709677
2011-12-15,5.73377391304348,19389.82,2.69614285714286,4.25,19389.7626622609
2011-12-16,5.69319076923077,19446.49,2.69742857142857,4.25,19446.4330680923
2011-12-19,5.69882352941176,19168.95,2.69757142857143,4.25,19168.8930117647
2011-12-20,5.69777777777778,19370.41,2.69485714285714,4.25,19370.3530222222
